ID Paquete;Volumen;Peso
100001;1,00;73
100002;1,33;99
100003;0,40;31
100004;0,20;15
100005;0,40;35
100006;0,40;31
100007;1,27;80
100008;0,80;50
100009;0,60;55
100010;0,07;13
100011;1,07;79
100012;0,67;59
100013;0,33;26
100014;0,53;44
100015;0,40;38
100016;1,33;95
100017;1,20;79
100018;1,00;77
100019;0,40;28
100020;1,07;70
100021;1,33;91
100022;1,07;65
100023;0,40;27
100024;0,20;23
100025;1,13;82
100026;0,27;32
100027;0,60;38
100028;0,87;67
100029;0,93;68
100030;1,33;95
100031;1,07;81
100032;0,07;22
100033;0,93;59
100034;0,93;61
100035;0,80;52
100036;0,13;14
100037;1,00;73
100038;1,07;81
100039;0,93;68
100040;1,07;78
100041;0,20;25
100042;0,33;25
100043;0,87;65
100044;0,40;38
100045;0,87;64
100046;0,60;53
100047;0,73;45
100048;0,80;67
100049;1,33;93
100050;1,20;82
100051;0,87;62
100052;0,33;31
100053;1,27;82
100054;0,53;50
100055;0,20;22
100056;0,33;31
100057;0,40;41
100058;0,60;41
100059;1,13;82
100060;0,40;26
100061;1,33;94
100062;0,20;31
100063;0,60;37
100064;0,93;68
100065;0,67;48
100066;0,87;72
100067;0,13;9
100068;1,20;74
100069;0,33;21
100070;1,07;81
100071;0,13;16
100072;1,20;82
100073;0,07;10
100074;0,73;60
100075;0,67;49
100076;0,73;58
100077;1,07;67
100078;0,07;23
100079;0,13;16
100080;0,53;37
100081;1,27;81
